TRAFFIC_SOURCE,VISITS,UNIQUE_DEVICES,AVG_VIEWS_PER_VIST,PURCHASES,AVG_VALUE_PER_ITEM,AVG_VALUE_PER_PURCHASE,MED_VALUE_PER_PURCHASE,PAGE_VIEWS_RATIO_TO_PURCHASE,PURCHASES_PER_UNQ_DEVICE,PURCHASES_PER_UNQ_PURCHASED_DEVICE
EMAIL,167214,1611,10.400905,1810,247.07088104,398.17997790,198.00000,960.871271,1.123526,3.507752
SEO,161563,4524,8.751905,1692,255.24548225,420.73265366,228.53500,835.687943,0.374005,2.631415
DIRECT,102343,2568,18.751649,681,236.52552343,348.36284875,213.91000,2818.061674,0.265187,2.225490
PAID,64831,3200,25.053478,474,371.11940476,526.14396624,243.95500,3426.670886,0.148125,1.717391
SELF REFERRE,2637,390,29.732651,2,76.69166667,230.07500000,230.07500,39202.500000,0.005128,1.000000
OTHER SEO,1898,153,9.683351,11,204.67428571,260.49454545,129.00000,1670.818182,0.071895,1.833333
REFERRAL,1278,118,8.830203,29,172.21709677,184.09413793,140.00000,389.137931,0.245763,4.833333
SOCIAL,552,120,11.018116,2,203.91000000,203.91000000,203.91000,3041.000000,0.016667,1.000000
OTHER PAID,16,12,3.937500,0,,,,,0.000000,
